#-----------------------------------------------------------------------------
# TRANSLATION TABLE
#-----------------------------------------------------------------------------
# Detector - CRATE - SLOT - CHANNEL - SECTOR - LAYER - COMPONENT - ORDER
# ORDER 0=ADCL, 1=ADCR, 2=TDCL, 3=TDCR
#-----------------------------------------------------------------------------
FTCAL	70	15	6	2	2	8	0
FTCAL	71	4	0	2	2	9	0
FTCAL	71	4	1	2	2	10	0
FTCAL	71	4	4	2	2	11	0
FTCAL	71	4	3	2	2	12	0
FTCAL	71	4	2	2	2	13	0
FTCAL	71	14	4	2	2	14	0
FTCAL	71	14	3	2	2	15	0
FTCAL	71	14	5	2	2	16	0
FTCAL	71	14	6	2	2	17	0
FTCAL	71	14	7	2	2	18	0
FTCAL	71	14	8	2	2	19	0
FTCAL	71	14	9	2	2	20	0
FTCAL	71	3	7	3	2	1	0
FTCAL	71	3	8	3	2	2	0
FTCAL	71	3	9	3	2	3	0
FTCAL	71	3	10	3	2	4	0
FTCAL	71	3	11	3	2	5	0
FTCAL	71	3	12	3	2	6	0
FTCAL	71	3	13	3	2	7	0
FTCAL	71	14	11	3	2	8	0
FTCAL	71	14	10	3	2	9	0
FTCAL	71	14	12	4	2	1	0
FTCAL	71	14	13	4	2	2	0
FTCAL	71	14	14	4	2	3	0
FTCAL	71	14	15	4	2	4	0
FTCAL	70	15	11	4	2	5	0
FTCAL	71	3	0	4	2	6	0
FTCAL	71	3	1	4	2	7	0
FTCAL	71	3	2	4	2	8	0
FTCAL	71	3	3	4	2	9	0
FTCAL	71	3	4	4	2	10	0
FTCAL	71	3	6	4	2	11	0
FTCAL	71	3	5	4	2	12	0
FTCAL	70	3	5	4	2	13	0
FTCAL	70	3	6	4	2	14	0
FTCAL	70	3	4	4	2	15	0
FTCAL	70	3	3	4	2	16	0
FTCAL	70	3	2	4	2	17	0
FTCAL	70	3	1	4	2	18	0
FTCAL	70	3	0	4	2	19	0
FTCAL	70	15	5	4	2	20	0
FTCAL	70	14	15	5	2	1	0
FTCAL	70	14	14	5	2	2	0
FTCAL	70	14	13	5	2	3	0
FTCAL	70	14	12	5	2	4	0
FTCAL	70	14	10	5	2	5	0
FTCAL	70	14	11	5	2	6	0
FTCAL	70	3	13	5	2	7	0
FTCAL	70	3	12	5	2	8	0
FTCAL	70	3	11	5	2	9	0
FTCAL	70	3	10	6	2	1	0
FTCAL	70	3	9	6	2	2	0
FTCAL	70	3	8	6	2	3	0
FTCAL	70	3	7	6	2	4	0
FTCAL	70	14	9	6	2	5	0
FTCAL	70	14	8	6	2	6	0
FTCAL	70	14	7	6	2	7	0
FTCAL	70	14	6	6	2	8	0
FTCAL	70	14	5	6	2	9	0
FTCAL	70	14	3	6	2	10	0
FTCAL	70	14	4	6	2	11	0
FTCAL	70	4	2	6	2	12	0
FTCAL	70	4	3	6	2	13	0
FTCAL	70	4	4	6	2	14	0
FTCAL	70	4	1	6	2	15	0
FTCAL	70	4	0	6	2	16	0
FTCAL	70	15	0	6	2	17	0
FTCAL	70	3	15	6	2	18	0
FTCAL	70	3	14	6	2	19	0
FTCAL	70	14	2	6	2	20	0
FTCAL	70	14	1	7	2	1	0
FTCAL	70	14	0	7	2	2	0
FTCAL	70	15	4	7	2	3	0
FTCAL	70	13	15	7	2	4	0
FTCAL	70	13	12	7	2	5	0
FTCAL	70	13	13	7	2	6	0
FTCAL	70	13	14	7	2	7	0
FTCAL	70	4	10	7	2	8	0
FTCAL	70	4	11	7	2	9	0
FTCAL	70	4	12	8	2	1	0
FTCAL	70	4	9	8	2	2	0
FTCAL	70	4	8	8	2	3	0
FTCAL	70	4	7	8	2	4	0
FTCAL	70	4	6	8	2	5	0
FTCAL	70	4	5	8	2	6	0
FTCAL	70	13	11	8	2	7	0
FTCAL	70	13	10	8	2	8	0
FTCAL	70	13	9	8	2	9	0
FTCAL	70	13	8	8	2	10	0
FTCAL	70	13	7	8	2	11	0
FTCAL	70	13	4	8	2	12	0
FTCAL	70	13	5	8	2	13	0
FTCAL	70	13	6	8	2	14	0
FTCAL	70	5	6	8	2	15	0
FTCAL	70	5	5	8	2	16	0
FTCAL	70	5	4	8	2	17	0
FTCAL	70	5	3	8	2	18	0
FTCAL	70	5	2	8	2	19	0
FTCAL	70	5	1	8	2	20	0
