#-----------------------------------------------------------------------------
# TRANSLATION TABLE
#-----------------------------------------------------------------------------
# Detector - CRATE - SLOT - CHANNEL - SECTOR - LAYER - COMPONENT - ORDER
# ORDER 0=ADCL, 1=ADCR, 2=TDCL, 3=TDCR
#-----------------------------------------------------------------------------
FTOF	71	8	2      1       0       176	 0
FTOF	71	8	1      1       0       198	 0
FTOF	71	8	0      1       0       220	 0
FTOF	70	15	8      1       0       242	 0
FTOF	71	7	15     1       0       264	 0
FTOF	71	7	14     1       0       286	 0
FTOF	71	8	3      1       0       111	 0
FTOF	71	8	4      1       0       133	 0
FTOF	71	8	5      1       0       155	 0
FTOF	71	8	6      1       0       177	 0
FTOF	71	8	7      1       0       199	 0
FTOF	71	8	8      1       0       221	 0
FTOF	71	7	8      1       0       243	 0
FTOF	71	7	9      1       0       265	 0
FTOF	71	7	10     1       0       287	 0
FTOF	71	7	11     1       0       309	 0
FTOF	71	7	12     1       0       331	 0
FTOF	71	7	13     1       0       353	 0
FTOF	71	8	10     1       0       90 	 0
FTOF	71	8	9      1       0       112	 0
FTOF	71	8	11     1       0       134	 0
FTOF	71	8	12     1       0       156	 0
FTOF	71	8	13     1       0       178	 0
FTOF	71	8	14     1       0       200	 0
FTOF	71	8	15     1       0       222	 0
FTOF	71	7	1      1       0       244	 0
FTOF	71	7	2      1       0       266	 0
FTOF	71	7	3      1       0       288	 0
FTOF	71	7	4      1       0       310	 0
FTOF	71	7	5      1       0       332	 0
FTOF	71	7	7      1       0       354	 0
FTOF	71	7	6      1       0       376	 0
FTOF	71	9	2      1       0       69 	 0
FTOF	71	9	1      1       0       91 	 0
FTOF	71	9	0      1       0       113	 0
FTOF	71	9	3      1       0       135	 0
FTOF	71	9	4      1       0       157	 0
FTOF	71	9	5      1       0       179	 0
FTOF	71	9	6      1       0       201	 0
FTOF	71	9	7      1       0       223	 0
FTOF	71	6	9      1       0       245	 0
FTOF	71	6	10     1       0       267	 0
FTOF	71	6	11     1       0       289	 0
FTOF	71	6	12     1       0       311	 0
FTOF	71	6	13     1       0       333	 0
FTOF	71	7	0      1       0       355	 0
FTOF	71	6	15     1       0       377	 0
FTOF	71	6	14     1       0       399	 0
FTOF	71	9	11     1       0       48 	 0
FTOF	71	9	10     1       0       70 	 0
FTOF	71	9	9      1       0       92 	 0
FTOF	71	9	8      1       0       114	 0
FTOF	71	9	12     1       0       136	 0
FTOF	71	9	13     1       0       158	 0
FTOF	71	9	14     1       0       180	 0
FTOF	71	9	15     1       0       202	 0
FTOF	70	15	9      1       0       224	 0
FTOF	71	6	0      1       0       246	 0
FTOF	71	6	1      1       0       268	 0
FTOF	71	6	2      1       0       290	 0
FTOF	71	6	3      1       0       312	 0
FTOF	71	6	4      1       0       334	 0
FTOF	71	6	8      1       0       356	 0
FTOF	71	6	7      1       0       378	 0
FTOF	71	6	6      1       0       400	 0
FTOF	71	6	5      1       0       422	 0
