                 cnd  |                root  |      Central Neutron Detector  |                       0*cm 0*cm (-2.185+2.714)*cm  |                                   0 0 0  | 33bb99   |                Tube  |                   28.95*cm 38.56*cm 39.578*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
CND_Layer1_Paddle_11  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 11  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 75*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 11 
CND_Layer1_Paddle_12  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 12  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 90*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 12 
CND_Layer1_Paddle_13  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 13  |                               0*cm 0*cm -6.242*cm  |                      0*deg 0*deg 90*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 13 
CND_Layer1_Paddle_14  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 14  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 105*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    14   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 14 
CND_Layer1_Paddle_15  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 15  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 105*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    15   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 15 
CND_Layer1_Paddle_16  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 16  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 120*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    16   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 16 
CND_Layer1_Paddle_17  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 17  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 120*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    17   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 17 
CND_Layer1_Paddle_18  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 18  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 135*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    18   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 18 
CND_Layer1_Paddle_19  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 19  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 135*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    19   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 19 
CND_Layer1_Paddle_20  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 20  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 150*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    20   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 20 
