       sl1_layer3_s1  |          region1_s1  |Region 0, Super Layer 1, layer 3, Sector 1  |                -2.50106*cm -6.31281*cm -6.0734*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s2  |          region1_s2  |Region 0, Super Layer 1, layer 3, Sector 2  |                -2.50106*cm -6.31281*cm -6.0734*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s3  |          region1_s3  |Region 0, Super Layer 1, layer 3, Sector 3  |                -2.50106*cm -6.31281*cm -6.0734*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s4  |          region1_s4  |Region 0, Super Layer 1, layer 3, Sector 4  |                -2.50106*cm -6.31281*cm -6.0734*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s5  |          region1_s5  |Region 0, Super Layer 1, layer 3, Sector 5  |                -2.50106*cm -6.31281*cm -6.0734*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s6  |          region1_s6  |Region 0, Super Layer 1, layer 3, Sector 6  |                -2.50106*cm -6.31281*cm -6.0734*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg 75.5878*cm 7.36192*cm 85.9639*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer4_s1  |          region1_s1  |Region 0, Super Layer 1, layer 4, Sector 1  |                -2.53467*cm -5.63668*cm -4.9148*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s2  |          region1_s2  |Region 0, Super Layer 1, layer 4, Sector 2  |                -2.53467*cm -5.63668*cm -4.9148*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s3  |          region1_s3  |Region 0, Super Layer 1, layer 4, Sector 3  |                -2.53467*cm -5.63668*cm -4.9148*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s4  |          region1_s4  |Region 0, Super Layer 1, layer 4, Sector 4  |                -2.53467*cm -5.63668*cm -4.9148*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s5  |          region1_s5  |Region 0, Super Layer 1, layer 4, Sector 5  |                -2.53467*cm -5.63668*cm -4.9148*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s6  |          region1_s6  |Region 0, Super Layer 1, layer 4, Sector 6  |                -2.53467*cm -5.63668*cm -4.9148*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg 75.5878*cm 7.98908*cm 86.591*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer5_s1  |          region1_s1  |Region 0, Super Layer 1, layer 5, Sector 1  |                  -2.531*cm -6.30967*cm -3.7562*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s2  |          region1_s2  |Region 0, Super Layer 1, layer 5, Sector 2  |                  -2.531*cm -6.30967*cm -3.7562*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s3  |          region1_s3  |Region 0, Super Layer 1, layer 5, Sector 3  |                  -2.531*cm -6.30967*cm -3.7562*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s4  |          region1_s4  |Region 0, Super Layer 1, layer 5, Sector 4  |                  -2.531*cm -6.30967*cm -3.7562*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s5  |          region1_s5  |Region 0, Super Layer 1, layer 5, Sector 5  |                  -2.531*cm -6.30967*cm -3.7562*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s6  |          region1_s6  |Region 0, Super Layer 1, layer 5, Sector 6  |                  -2.531*cm -6.30967*cm -3.7562*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg 75.5878*cm 7.92065*cm 86.5226*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 5 wire manual 1 
