                       U_view_layer_7_s2  |                        pcal_s2  |                       PCAL Sector 2 U-view Layer 7  |           0.0000*cm 0.0000*cm -1.2000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_10_s2  |                        pcal_s2  |                      PCAL Sector 2 U-view Layer 10  |            0.0000*cm 0.0000*cm 2.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_13_s2  |                        pcal_s2  |                      PCAL Sector 2 U-view Layer 13  |            0.0000*cm 0.0000*cm 6.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_1_s3  |                        pcal_s3  |                       PCAL Sector 3 U-view Layer 1  |           0.0000*cm 0.0000*cm -8.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_4_s3  |                        pcal_s3  |                       PCAL Sector 3 U-view Layer 4  |           0.0000*cm 0.0000*cm -4.8000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_7_s3  |                        pcal_s3  |                       PCAL Sector 3 U-view Layer 7  |           0.0000*cm 0.0000*cm -1.2000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_10_s3  |                        pcal_s3  |                      PCAL Sector 3 U-view Layer 10  |            0.0000*cm 0.0000*cm 2.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_13_s3  |                        pcal_s3  |                      PCAL Sector 3 U-view Layer 13  |            0.0000*cm 0.0000*cm 6.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_1_s4  |                        pcal_s4  |                       PCAL Sector 4 U-view Layer 1  |           0.0000*cm 0.0000*cm -8.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_4_s4  |                        pcal_s4  |                       PCAL Sector 4 U-view Layer 4  |           0.0000*cm 0.0000*cm -4.8000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
