           paddle_17  |                ctof  |Central TOF Scintillator number 17  |                         -11.358*cm 24.136*cm 0*cm  |                  90*deg 205.2*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 17 
           paddle_18  |                ctof  |Central TOF Scintillator number 18  |                         -14.293*cm 22.522*cm 0*cm  |                  90*deg 212.4*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 18 
           paddle_19  |                ctof  |Central TOF Scintillator number 19  |                         -17.003*cm 20.553*cm 0*cm  |                  90*deg 219.6*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 19 
           paddle_20  |                ctof  |Central TOF Scintillator number 20  |                         -19.445*cm 18.260*cm 0*cm  |                  90*deg 226.8*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 20 
           paddle_21  |                ctof  |Central TOF Scintillator number 21  |                         -21.580*cm 15.679*cm 0*cm  |                    90*deg 234*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 21 
           paddle_22  |                ctof  |Central TOF Scintillator number 22  |                         -23.375*cm 12.851*cm 0*cm  |                  90*deg 241.2*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 22 
           paddle_23  |                ctof  |Central TOF Scintillator number 23  |                          -24.802*cm 9.820*cm 0*cm  |                  90*deg 248.4*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 23 
           paddle_24  |                ctof  |Central TOF Scintillator number 24  |                          -25.837*cm 6.634*cm 0*cm  |                  90*deg 255.6*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 24 
           paddle_25  |                ctof  |Central TOF Scintillator number 25  |                          -26.464*cm 3.343*cm 0*cm  |                  90*deg 262.8*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 25 
           paddle_26  |                ctof  |Central TOF Scintillator number 26  |                          -26.675*cm 0.000*cm 0*cm  |                    90*deg 270*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 26 
           paddle_27  |                ctof  |Central TOF Scintillator number 27  |                         -26.464*cm -3.343*cm 0*cm  |                  90*deg 277.2*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 27 
           paddle_28  |                ctof  |Central TOF Scintillator number 28  |                         -25.837*cm -6.634*cm 0*cm  |                  90*deg 284.4*deg 0*deg  | 66bbff   |                 Trd  |     1.77165*cm 1.57226*cm 32.99968*cm 32.99968*cm 1.5748*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 28 
